Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
6;6;6;224;1;1.0;1.0;1.0;24.0;5.0;1;56.62637362637363;71.9791013584117;34.25513598121698
12;25;25;25;2;1.0;1.0;1.0;125.0;0.0;1;85.58936170212766;72.77179221548025;87.29660587639312
26;56;86;361;3;1.0;1.0;2.0;105.0;0.0;1;67.61974944731024;72.77179221548025;87.29660587639312
0;0;5;92;4;1.0;1.0;2.0;59.0;20.0;2;60.342919153553986;72.77179221548025;87.29660587639312
4;18;40;291;4;1.0;1.0;2.0;61.0;30.0;2;60.342919153553986;72.77179221548025;87.29660587639312
0;14;24;292;5;1.0;2.0;4.0;49.0;25.0;3;41.56962025316456;52.2472647702407;87.29660587639312
7;16;25;263;10;2.0;4.0;6.0;71.0;60.0;3;78.0656192236599;72.77179221548025;87.29660587639312
13;43;73;348;2;2.0;0.0;1.0;15.0;0.0;1;32.53225806451613;34.444148936170215;34.25513598121698
1;7;11;260;5;2.0;2.0;3.0;120.0;30.0;2;82.51466666666667;72.77179221548025;87.29660587639312
14;44;74;349;5;2.0;1.0;4.0;32.0;12.0;2;82.51466666666667;72.77179221548025;34.25513598121698
2;2;5;214;3;1.0;1.0;2.0;50.0;15.0;1;78.90445859872611;72.77179221548025;87.29660587639312
13;26;46;321;4;1.0;0.0;2.0;60.0;20.0;2;78.0656192236599;72.77179221548025;87.29660587639312
6;11;32;32;4;2.0;1.0;1.0;44.0;0.0;2;36.095238095238095;33.50632911392405;87.29660587639312
6;16;25;217;14;5.5;5.0;10.0;300.0;70.0;10;67.61974944731024;72.77179221548025;87.29660587639312
0;13;43;160;1;1.0;1.0;1.0;18.0;0.0;1;33.410714285714285;46.363751584283904;34.25513598121698
10;24;47;322;6;2.0;3.0;5.0;149.0;47.0;4;58.56521739130435;70.86238532110092;87.29660587639312
0;5;35;126;2;2.0;1.0;2.0;17.0;10.0;1;34.36363636363637;36.6605504587156;34.25513598121698
9;25;37;156;6;1.0;2.0;3.0;80.0;30.0;4;60.342919153553986;72.77179221548025;87.29660587639312
0;12;31;298;7;2.0;3.0;5.0;165.0;50.0;4;60.342919153553986;72.77179221548025;87.29660587639312
15;43;73;348;1;1.0;1.0;2.0;19.0;0.0;1;66.7984496124031;85.65113636363637;34.25513598121698
11;21;40;53;2;1.0;1.0;1.0;31.0;12.0;1;85.58936170212766;72.77179221548025;34.25513598121698
16;16;16;275;2;1.0;1.0;2.0;25.0;0.0;1;82.39354838709677;71.9791013584117;34.25513598121698
18;48;78;353;2;1.0;0.0;1.0;80.0;0.0;1;101.6;73.31741573033707;87.29660587639312
7;37;67;342;1;2.0;1.0;1.0;32.0;30.0;1;56.62637362637363;71.9791013584117;34.25513598121698
8;14;44;319;2;1.0;1.0;1.0;60.0;0.0;1;82.55238095238096;71.9791013584117;87.29660587639312
8;21;33;276;8;2.0;3.0;5.0;183.0;35.0;5;85.58936170212766;72.77179221548025;87.29660587639312
